fips year sex age race deaths popn county_level_E
39145 88 1 10 0 1 2526 48.7277300305991
39145 88 1 10 1 0 48 48.7277300305991
39103 88 0 7 0 1 5831 48.5487421987463
39103 88 0 7 1 0 111 48.5487421987463
39103 88 0 8 0 7 3927 48.5487421987463
39103 88 0 8 1 0 65 48.5487421987463
39103 88 0 9 0 13 2786 48.5487421987463
39103 88 0 9 1 0 16 48.5487421987463
39103 88 0 10 0 7 1194 48.5487421987463
39103 88 0 10 1 0 10 48.5487421987463
39103 88 1 7 0 0 5425 48.5487421987463
39103 88 1 7 1 0 57 48.5487421987463
39103 88 1 8 0 3 3814 48.5487421987463
39103 88 1 8 1 0 35 48.5487421987463
39103 88 1 9 0 3 3324 48.5487421987463
39103 88 1 9 1 0 32 48.5487421987463
39103 88 1 10 0 4 2077 48.5487421987463
39103 88 1 10 1 0 16 48.5487421987463
39165 88 0 7 0 4 5958 45.7154858000085
39165 88 0 7 1 0 68 45.7154858000085
39165 88 0 8 0 10 3653 45.7154858000085
39165 88 0 8 1 0 32 45.7154858000085
39165 88 0 9 0 22 2592 45.7154858000085
39165 88 0 9 1 0 34 45.7154858000085
39165 88 0 10 0 6 1097 45.7154858000085
39165 88 0 10 1 0 18 45.7154858000085
39165 88 1 7 0 1 5972 45.7154858000085
39165 88 1 7 1 0 54 45.7154858000085
39165 88 1 8 0 6 3601 45.7154858000085
39165 88 1 8 1 1 53 45.7154858000085
39165 88 1 9 0 5 3074 45.7154858000085
39165 88 1 9 1 0 56 45.7154858000085
39165 88 1 10 0 3 1796 45.7154858000085
39165 88 1 10 1 0 31 45.7154858000085
39159 88 0 7 0 0 1474 16.6699093850902
39159 88 0 7 1 0 38 16.6699093850902
39159 88 0 8 0 1 1284 16.6699093850902
39159 88 0 8 1 0 56 16.6699093850902
39159 88 0 9 0 3 901 16.6699093850902
39159 88 0 9 1 0 13 16.6699093850902
39159 88 0 10 0 1 458 16.6699093850902
39159 88 0 10 1 0 14 16.6699093850902
39159 88 1 7 0 0 1834 16.6699093850902
39159 88 1 7 1 0 95 16.6699093850902
39159 88 1 8 0 0 1394 16.6699093850902
39159 88 1 8 1 1 64 16.6699093850902
39159 88 1 9 0 0 1128 16.6699093850902
39159 88 1 9 1 0 19 16.6699093850902
39159 88 1 10 0 0 734 16.6699093850902
39159 88 1 10 1 0 8 16.6699093850902
39031 88 0 7 0 0 1911 22.2022020547338
39031 88 0 7 1 0 22 22.2022020547338
39031 88 0 8 0 3 1725 22.2022020547338
39031 88 0 8 1 0 20 22.2022020547338
39031 88 0 9 0 8 1344 22.2022020547338
39031 88 0 9 1 0 17 22.2022020547338
39031 88 0 10 0 2 584 22.2022020547338
39031 88 0 10 1 0 6 22.2022020547338
39031 88 1 7 0 1 1826 22.2022020547338
39031 88 1 7 1 0 38 22.2022020547338
39031 88 1 8 0 3 1829 22.2022020547338
39031 88 1 8 1 0 38 22.2022020547338
39031 88 1 9 0 0 1557 22.2022020547338
39031 88 1 9 1 0 29 22.2022020547338
39031 88 1 10 0 2 1013 22.2022020547338
39031 88 1 10 1 0 22 22.2022020547338
39149 88 0 7 0 4 1992 22.2410416503075
39149 88 0 7 1 0 28 22.2410416503075
39149 88 0 8 0 4 1748 22.2410416503075
39149 88 0 8 1 0 16 22.2410416503075
39149 88 0 9 0 3 1371 22.2410416503075
39149 88 0 9 1 0 4 22.2410416503075
39149 88 0 10 0 3 588 22.2410416503075
39149 88 0 10 1 0 4 22.2410416503075
39149 88 1 7 0 1 2041 22.2410416503075
39149 88 1 7 1 0 26 22.2410416503075
39149 88 1 8 0 0 1803 22.2410416503075
39149 88 1 8 1 0 12 22.2410416503075
39149 88 1 9 0 2 1610 22.2410416503075
39149 88 1 9 1 0 16 22.2410416503075
39149 88 1 10 0 2 915 22.2410416503075
39149 88 1 10 1 0 5 22.2410416503075
39109 88 0 7 0 4 4727 49.7476931663953
39109 88 0 7 1 0 105 49.7476931663953
39109 88 0 8 0 6 3789 49.7476931663953
39109 88 0 8 1 0 73 49.7476931663953
39109 88 0 9 0 12 2863 49.7476931663953
39109 88 0 9 1 1 66 49.7476931663953
39109 88 0 10 0 5 1204 49.7476931663953
39109 88 0 10 1 0 28 49.7476931663953
39109 88 1 7 0 1 4922 49.7476931663953
39109 88 1 7 1 0 150 49.7476931663953
39109 88 1 8 0 4 4224 49.7476931663953
39109 88 1 8 1 0 88 49.7476931663953
39109 88 1 9 0 7 3640 49.7476931663953
39109 88 1 9 1 0 78 49.7476931663953
39109 88 1 10 0 0 2224 49.7476931663953
39109 88 1 10 1 0 58 49.7476931663953
39027 88 0 7 0 1 1660 19.7219617366772
39027 88 0 7 1 0 33 19.7219617366772
39027 88 0 8 0 7 1354 19.7219617366772
39027 88 0 8 1 0 37 19.7219617366772
39027 88 0 9 0 9 1181 19.7219617366772
39027 88 0 9 1 0 22 19.7219617366772
39027 88 0 10 0 4 519 19.7219617366772
39027 88 0 10 1 0 4 19.7219617366772
39027 88 1 7 0 0 1980 19.7219617366772
39027 88 1 7 1 0 40 19.7219617366772
39027 88 1 8 0 0 1650 19.7219617366772
39027 88 1 8 1 0 45 19.7219617366772
39027 88 1 9 0 2 1505 19.7219617366772
39027 88 1 9 1 0 30 19.7219617366772
39027 88 1 10 0 1 906 19.7219617366772
39027 88 1 10 1 0 12 19.7219617366772
39107 88 0 7 0 2 1739 20.9717958517554
39107 88 0 7 1 0 11 20.9717958517554
39107 88 0 8 0 1 1569 20.9717958517554
39107 88 0 8 1 0 2 20.9717958517554
39107 88 0 9 0 6 1314 20.9717958517554
39107 88 0 9 1 0 1 20.9717958517554
39107 88 0 10 0 0 592 20.9717958517554
39107 88 0 10 1 0 3 20.9717958517554
39107 88 1 7 0 0 1855 20.9717958517554
39107 88 1 7 1 0 3 20.9717958517554
39107 88 1 8 0 0 1651 20.9717958517554
39107 88 1 8 1 0 6 20.9717958517554
39107 88 1 9 0 2 1564 20.9717958517554
39107 88 1 9 1 0 0 20.9717958517554
39107 88 1 10 0 1 927 20.9717958517554
39107 88 1 10 1 0 3 20.9717958517554
39075 88 0 7 0 0 1235 13.7311229474182
39075 88 0 7 1 0 0 13.7311229474182
39075 88 0 8 0 2 927 13.7311229474182
39075 88 0 8 1 0 0 13.7311229474182
39075 88 0 9 0 1 801 13.7311229474182
39075 88 0 9 1 0 1 13.7311229474182
39075 88 0 10 0 1 456 13.7311229474182
39075 88 0 10 1 0 1 13.7311229474182
39075 88 1 7 0 1 1440 13.7311229474182
39075 88 1 7 1 0 0 13.7311229474182
39075 88 1 8 0 0 1067 13.7311229474182
39075 88 1 8 1 0 2 13.7311229474182
39075 88 1 9 0 2 1028 13.7311229474182
39075 88 1 9 1 0 2 13.7311229474182
39075 88 1 10 0 1 622 13.7311229474182
39075 88 1 10 1 0 1 13.7311229474182
39143 88 0 7 0 1 3085 33.734192243803
39143 88 0 7 1 0 65 33.734192243803
39143 88 0 8 0 5 2485 33.734192243803
39143 88 0 8 1 0 49 33.734192243803
39143 88 0 9 0 8 1998 33.734192243803
39143 88 0 9 1 0 38 33.734192243803
39143 88 0 10 0 3 867 33.734192243803
39143 88 0 10 1 1 9 33.734192243803
39143 88 1 7 0 1 3156 33.734192243803
39143 88 1 7 1 0 56 33.734192243803
39143 88 1 8 0 4 3068 33.734192243803
39143 88 1 8 1 0 59 33.734192243803
39143 88 1 9 0 4 2370 33.734192243803
39143 88 1 9 1 0 38 33.734192243803
39143 88 1 10 0 4 1495 33.734192243803
39143 88 1 10 1 0 23 33.734192243803
39105 88 0 7 0 5 1125 14.5851723617589
39105 88 0 7 1 0 19 14.5851723617589
39105 88 0 8 0 1 1013 14.5851723617589
39105 88 0 8 1 0 11 14.5851723617589
39105 88 0 9 0 3 930 14.5851723617589
39105 88 0 9 1 1 10 14.5851723617589
39105 88 0 10 0 2 422 14.5851723617589
39105 88 0 10 1 1 8 14.5851723617589
39105 88 1 7 0 1 1146 14.5851723617589
39105 88 1 7 1 0 8 14.5851723617589
39105 88 1 8 0 0 1134 14.5851723617589
39105 88 1 8 1 0 12 14.5851723617589
39105 88 1 9 0 0 1086 14.5851723617589
39105 88 1 9 1 0 9 14.5851723617589
39105 88 1 10 0 0 630 14.5851723617589
39105 88 1 10 1 0 12 14.5851723617589
39007 88 0 7 0 1 4492 59.4483984831333
39007 88 0 7 1 0 229 59.4483984831333
39007 88 0 8 0 14 4297 59.4483984831333
39007 88 0 8 1 0 154 59.4483984831333
39007 88 0 9 0 21 3548 59.4483984831333
39007 88 0 9 1 0 96 59.4483984831333
39007 88 0 10 0 8 1563 59.4483984831333
39007 88 0 10 1 0 59 59.4483984831333
39007 88 1 7 0 1 4686 59.4483984831333
39007 88 1 7 1 0 222 59.4483984831333
39007 88 1 8 0 4 4712 59.4483984831333
39007 88 1 8 1 0 174 59.4483984831333
39007 88 1 9 0 6 4420 59.4483984831333
39007 88 1 9 1 0 125 59.4483984831333
39007 88 1 10 0 2 2564 59.4483984831333
39007 88 1 10 1 0 53 59.4483984831333
39111 88 0 7 0 1 780 9.83784407453251
39111 88 0 7 1 0 1 9.83784407453251
39111 88 0 8 0 2 762 9.83784407453251
39111 88 0 8 1 0 1 9.83784407453251
39111 88 0 9 0 2 596 9.83784407453251
39111 88 0 9 1 0 1 9.83784407453251
39111 88 0 10 0 2 316 9.83784407453251
39111 88 0 10 1 0 1 9.83784407453251
39111 88 1 7 0 0 799 9.83784407453251
39111 88 1 7 1 0 1 9.83784407453251
39111 88 1 8 0 0 739 9.83784407453251
39111 88 1 8 1 0 0 9.83784407453251
39111 88 1 9 0 0 654 9.83784407453251
39111 88 1 9 1 0 1 9.83784407453251
39111 88 1 10 0 1 471 9.83784407453251
39111 88 1 10 1 0 1 9.83784407453251
39015 88 0 7 0 0 1780 19.0822783997527
39015 88 0 7 1 0 12 19.0822783997527
39015 88 0 8 0 6 1319 19.0822783997527
39015 88 0 8 1 0 17 19.0822783997527
39015 88 0 9 0 4 1208 19.0822783997527
39015 88 0 9 1 0 11 19.0822783997527
39015 88 0 10 0 3 542 19.0822783997527
39015 88 0 10 1 0 5 19.0822783997527
39015 88 1 7 0 1 1552 19.0822783997527
39015 88 1 7 1 0 25 19.0822783997527
39015 88 1 8 0 2 1597 19.0822783997527
39015 88 1 8 1 0 15 19.0822783997527
39015 88 1 9 0 1 1374 19.0822783997527
39015 88 1 9 1 0 14 19.0822783997527
39015 88 1 10 0 1 777 19.0822783997527
39015 88 1 10 1 0 8 19.0822783997527
39025 88 0 7 0 6 6573 58.7458370764702
39025 88 0 7 1 0 97 58.7458370764702
39025 88 0 8 0 18 5054 58.7458370764702
39025 88 0 8 1 0 63 58.7458370764702
39025 88 0 9 0 18 3246 58.7458370764702
39025 88 0 9 1 0 41 58.7458370764702
39025 88 0 10 0 9 1390 58.7458370764702
39025 88 0 10 1 0 20 58.7458370764702
39025 88 1 7 0 3 6688 58.7458370764702
39025 88 1 7 1 0 101 58.7458370764702
39025 88 1 8 0 4 5262 58.7458370764702
39025 88 1 8 1 0 82 58.7458370764702
39025 88 1 9 0 10 4025 58.7458370764702
39025 88 1 9 1 0 71 58.7458370764702
39025 88 1 10 0 4 2191 58.7458370764702
39025 88 1 10 1 0 28 58.7458370764702
39113 88 0 7 0 12 24356 325.426228629749
39113 88 0 7 1 9 4974 325.426228629749
39113 88 0 8 0 47 20885 325.426228629749
39113 88 0 8 1 13 4327 325.426228629749
39113 88 0 9 0 76 15397 325.426228629749
39113 88 0 9 1 14 2732 325.426228629749
39113 88 0 10 0 39 6365 325.426228629749
39113 88 0 10 1 6 924 325.426228629749
39113 88 1 7 0 13 26188 325.426228629749
39113 88 1 7 1 2 6224 325.426228629749
39113 88 1 8 0 25 24607 325.426228629749
39113 88 1 8 1 8 4802 325.426228629749
39113 88 1 9 0 33 19416 325.426228629749
39113 88 1 9 1 4 3370 325.426228629749
39113 88 1 10 0 17 11747 325.426228629749
39113 88 1 10 1 2 1615 325.426228629749
39081 88 0 7 0 1 3945 56.5694958616261
39081 88 0 7 1 0 181 56.5694958616261
39081 88 0 8 0 10 4160 56.5694958616261
39081 88 0 8 1 0 246 56.5694958616261
39081 88 0 9 0 23 3293 56.5694958616261
39081 88 0 9 1 1 151 56.5694958616261
39081 88 0 10 0 13 1365 56.5694958616261
39081 88 0 10 1 1 74 56.5694958616261
39081 88 1 7 0 0 4463 56.5694958616261
39081 88 1 7 1 1 273 56.5694958616261
39081 88 1 8 0 4 4696 56.5694958616261
39081 88 1 8 1 0 220 56.5694958616261
39081 88 1 9 0 7 4269 56.5694958616261
39081 88 1 9 1 1 210 56.5694958616261
39081 88 1 10 0 9 2167 56.5694958616261
39081 88 1 10 1 1 108 56.5694958616261
39067 88 0 7 0 1 727 10.6547788929387
39067 88 0 7 1 0 15 10.6547788929387
39067 88 0 8 0 7 715 10.6547788929387
39067 88 0 8 1 0 14 10.6547788929387
39067 88 0 9 0 2 701 10.6547788929387
39067 88 0 9 1 0 13 10.6547788929387
39067 88 0 10 0 1 294 10.6547788929387
39067 88 0 10 1 0 4 10.6547788929387
39067 88 1 7 0 0 786 10.6547788929387
39067 88 1 7 1 0 19 10.6547788929387
39067 88 1 8 0 1 858 10.6547788929387
39067 88 1 8 1 0 18 10.6547788929387
39067 88 1 9 0 1 786 10.6547788929387
39067 88 1 9 1 0 13 10.6547788929387
39067 88 1 10 0 1 482 10.6547788929387
39067 88 1 10 1 0 4 10.6547788929387
39003 88 0 7 0 1 4776 62.7864814735788
39003 88 0 7 1 0 436 62.7864814735788
39003 88 0 8 0 5 4375 62.7864814735788
39003 88 0 8 1 2 376 62.7864814735788
39003 88 0 9 0 16 3467 62.7864814735788
39003 88 0 9 1 2 292 62.7864814735788
39003 88 0 10 0 10 1473 62.7864814735788
39003 88 0 10 1 1 71 62.7864814735788
39003 88 1 7 0 0 5032 62.7864814735788
39003 88 1 7 1 0 494 62.7864814735788
39003 88 1 8 0 7 4914 62.7864814735788
39003 88 1 8 1 0 371 62.7864814735788
39003 88 1 9 0 5 4433 62.7864814735788
39003 88 1 9 1 0 307 62.7864814735788
39003 88 1 10 0 7 2748 62.7864814735788
39003 88 1 10 1 0 125 62.7864814735788
39137 88 0 7 0 0 1593 17.3890102191324
39137 88 0 7 1 0 1 17.3890102191324
39137 88 0 8 0 0 1351 17.3890102191324
39137 88 0 8 1 0 2 17.3890102191324
39137 88 0 9 0 2 983 17.3890102191324
39137 88 0 9 1 0 2 17.3890102191324
39137 88 0 10 0 5 545 17.3890102191324
39137 88 0 10 1 0 0 17.3890102191324
39137 88 1 7 0 0 1688 17.3890102191324
39137 88 1 7 1 0 2 17.3890102191324
39137 88 1 8 0 1 1424 17.3890102191324
39137 88 1 8 1 0 3 17.3890102191324
39137 88 1 9 0 1 1224 17.3890102191324
39137 88 1 9 1 0 0 17.3890102191324
39137 88 1 10 0 1 785 17.3890102191324
39137 88 1 10 1 0 0 17.3890102191324
39053 88 0 7 0 3 1499 17.2288588864002
39053 88 0 7 1 0 72 17.2288588864002
39053 88 0 8 0 6 1188 17.2288588864002
39053 88 0 8 1 2 42 17.2288588864002
39053 88 0 9 0 5 981 17.2288588864002
39053 88 0 9 1 0 42 17.2288588864002
39053 88 0 10 0 4 512 17.2288588864002
39053 88 0 10 1 0 21 17.2288588864002
39053 88 1 7 0 3 1561 17.2288588864002
39053 88 1 7 1 0 66 17.2288588864002
39053 88 1 8 0 1 1275 17.2288588864002
39053 88 1 8 1 0 36 17.2288588864002
39053 88 1 9 0 1 1176 17.2288588864002
39053 88 1 9 1 0 42 17.2288588864002
39053 88 1 10 0 1 722 17.2288588864002
39053 88 1 10 1 0 40 17.2288588864002
39139 88 0 7 0 2 6207 71.537511359622
39139 88 0 7 1 0 422 71.537511359622
39139 88 0 8 0 11 5459 71.537511359622
39139 88 0 8 1 0 325 71.537511359622
39139 88 0 9 0 18 3903 71.537511359622
39139 88 0 9 1 1 246 71.537511359622
39139 88 0 10 0 7 1666 71.537511359622
39139 88 0 10 1 1 74 71.537511359622
39139 88 1 7 0 2 6749 71.537511359622
39139 88 1 7 1 0 487 71.537511359622
39139 88 1 8 0 6 5928 71.537511359622
39139 88 1 8 1 1 337 71.537511359622
39139 88 1 9 0 6 4847 71.537511359622
39139 88 1 9 1 1 233 71.537511359622
39139 88 1 10 0 6 2977 71.537511359622
39139 88 1 10 1 0 122 71.537511359622
39093 88 0 7 0 8 11932 136.298893446484
39093 88 0 7 1 0 866 136.298893446484
39093 88 0 8 0 26 10695 136.298893446484
39093 88 0 8 1 4 707 136.298893446484
39093 88 0 9 0 47 7681 136.298893446484
39093 88 0 9 1 2 460 136.298893446484
39093 88 0 10 0 21 2882 136.298893446484
39093 88 0 10 1 3 183 136.298893446484
39093 88 1 7 0 4 12971 136.298893446484
39093 88 1 7 1 0 989 136.298893446484
39093 88 1 8 0 8 10841 136.298893446484
39093 88 1 8 1 0 890 136.298893446484
39093 88 1 9 0 14 9150 136.298893446484
39093 88 1 9 1 0 514 136.298893446484
39093 88 1 10 0 7 5097 136.298893446484
39093 88 1 10 1 0 244 136.298893446484
39097 88 0 7 0 2 1723 16.8853349505498
39097 88 0 7 1 0 48 16.8853349505498
39097 88 0 8 0 1 1347 16.8853349505498
39097 88 0 8 1 0 22 16.8853349505498
39097 88 0 9 0 2 986 16.8853349505498
39097 88 0 9 1 0 24 16.8853349505498
39097 88 0 10 0 3 394 16.8853349505498
39097 88 0 10 1 0 10 16.8853349505498
39097 88 1 7 0 0 1647 16.8853349505498
39097 88 1 7 1 0 37 16.8853349505498
39097 88 1 8 0 3 1410 16.8853349505498
39097 88 1 8 1 0 34 16.8853349505498
39097 88 1 9 0 2 1223 16.8853349505498
39097 88 1 9 1 0 28 16.8853349505498
39097 88 1 10 0 2 657 16.8853349505498
39097 88 1 10 1 0 13 16.8853349505498
39023 88 0 7 0 6 6836 88.813440086054
39023 88 0 7 1 0 600 88.813440086054
39023 88 0 8 0 15 6133 88.813440086054
39023 88 0 8 1 2 609 88.813440086054
39023 88 0 9 0 26 4640 88.813440086054
39023 88 0 9 1 1 417 88.813440086054
39023 88 0 10 0 11 2127 88.813440086054
39023 88 0 10 1 0 212 88.813440086054
39023 88 1 7 0 5 7033 88.813440086054
39023 88 1 7 1 0 813 88.813440086054
39023 88 1 8 0 14 7208 88.813440086054
39023 88 1 8 1 3 761 88.813440086054
39023 88 1 9 0 7 5819 88.813440086054
39023 88 1 9 1 1 578 88.813440086054
39023 88 1 10 0 4 3535 88.813440086054
39023 88 1 10 1 1 343 88.813440086054
39021 88 0 7 0 2 1856 19.8714574471399
39021 88 0 7 1 0 60 19.8714574471399
39021 88 0 8 0 4 1300 19.8714574471399
39021 88 0 8 1 0 68 19.8714574471399
39021 88 0 9 0 8 1202 19.8714574471399
39021 88 0 9 1 0 34 19.8714574471399
39021 88 0 10 0 2 512 19.8714574471399
39021 88 0 10 1 0 18 19.8714574471399
39021 88 1 7 0 1 1690 19.8714574471399
39021 88 1 7 1 0 59 19.8714574471399
39021 88 1 8 0 0 1631 19.8714574471399
39021 88 1 8 1 0 64 19.8714574471399
39021 88 1 9 0 0 1486 19.8714574471399
39021 88 1 9 1 0 50 19.8714574471399
39021 88 1 10 0 3 796 19.8714574471399
39021 88 1 10 1 0 23 19.8714574471399
39061 88 0 7 0 21 33233 515.2401890566
39061 88 0 7 1 10 7568 515.2401890566
39061 88 0 8 0 86 31112 515.2401890566
39061 88 0 8 1 29 6862 515.2401890566
39061 88 0 9 0 101 22573 515.2401890566
39061 88 0 9 1 26 4712 515.2401890566
39061 88 0 10 0 50 10997 515.2401890566
39061 88 0 10 1 14 1966 515.2401890566
39061 88 1 7 0 12 37509 515.2401890566
39061 88 1 7 1 5 9277 515.2401890566
39061 88 1 8 0 39 36626 515.2401890566
39061 88 1 8 1 19 8072 515.2401890566
39061 88 1 9 0 75 31305 515.2401890566
39061 88 1 9 1 10 6510 515.2401890566
39061 88 1 10 0 33 21280 515.2401890566
39061 88 1 10 1 7 3297 515.2401890566
39161 88 0 7 0 1 1335 17.8752820104834
39161 88 0 7 1 0 4 17.8752820104834
39161 88 0 8 0 0 1365 17.8752820104834
39161 88 0 8 1 0 4 17.8752820104834
39161 88 0 9 0 2 1048 17.8752820104834
39161 88 0 9 1 0 0 17.8752820104834
39161 88 0 10 0 2 551 17.8752820104834
39161 88 0 10 1 0 1 17.8752820104834
39161 88 1 7 0 1 1443 17.8752820104834
39161 88 1 7 1 0 3 17.8752820104834
39161 88 1 8 0 2 1393 17.8752820104834
39161 88 1 8 1 0 5 17.8752820104834
39161 88 1 9 0 0 1354 17.8752820104834
39161 88 1 9 1 0 4 17.8752820104834
39161 88 1 10 0 1 878 17.8752820104834
39161 88 1 10 1 0 3 17.8752820104834
39047 88 0 7 0 0 1317 16.5725520524927
39047 88 0 7 1 0 45 16.5725520524927
39047 88 0 8 0 4 1130 16.5725520524927
39047 88 0 8 1 0 31 16.5725520524927
39047 88 0 9 0 5 969 16.5725520524927
39047 88 0 9 1 1 21 16.5725520524927
39047 88 0 10 0 3 484 16.5725520524927
39047 88 0 10 1 0 22 16.5725520524927
39047 88 1 7 0 0 1296 16.5725520524927
39047 88 1 7 1 0 51 16.5725520524927
39047 88 1 8 0 1 1277 16.5725520524927
39047 88 1 8 1 0 43 16.5725520524927
39047 88 1 9 0 1 1240 16.5725520524927
39047 88 1 9 1 0 30 16.5725520524927
39047 88 1 10 0 1 742 16.5725520524927
39047 88 1 10 1 0 17 16.5725520524927
39051 88 0 7 0 1 2076 20.1397822888456
39051 88 0 7 1 0 2 20.1397822888456
39051 88 0 8 0 0 1571 20.1397822888456
39051 88 0 8 1 0 1 20.1397822888456
39051 88 0 9 0 4 1115 20.1397822888456
39051 88 0 9 1 0 0 20.1397822888456
39051 88 0 10 0 2 616 20.1397822888456
39051 88 0 10 1 0 0 20.1397822888456
39051 88 1 7 0 0 1963 20.1397822888456
39051 88 1 7 1 0 5 20.1397822888456
39051 88 1 8 0 0 1679 20.1397822888456
39051 88 1 8 1 0 0 20.1397822888456
39051 88 1 9 0 1 1403 20.1397822888456
39051 88 1 9 1 0 1 20.1397822888456
39051 88 1 10 0 1 931 20.1397822888456
39051 88 1 10 1 0 3 20.1397822888456
39175 88 0 7 0 2 1072 13.0663927624113
39175 88 0 7 1 0 3 13.0663927624113
39175 88 0 8 0 1 906 13.0663927624113
39175 88 0 8 1 0 0 13.0663927624113
39175 88 0 9 0 5 767 13.0663927624113
39175 88 0 9 1 0 0 13.0663927624113
39175 88 0 10 0 3 419 13.0663927624113
39175 88 0 10 1 0 1 13.0663927624113
39175 88 1 7 0 1 1171 13.0663927624113
39175 88 1 7 1 0 1 13.0663927624113
39175 88 1 8 0 0 1037 13.0663927624113
39175 88 1 8 1 0 3 13.0663927624113
39175 88 1 9 0 1 976 13.0663927624113
39175 88 1 9 1 0 4 13.0663927624113
39175 88 1 10 0 1 664 13.0663927624113
39175 88 1 10 1 0 2 13.0663927624113
39087 88 0 7 0 4 3322 35.5092071123234
39087 88 0 7 1 0 70 35.5092071123234
39087 88 0 8 0 10 2617 35.5092071123234
39087 88 0 8 1 0 80 35.5092071123234
39087 88 0 9 0 6 2001 35.5092071123234
39087 88 0 9 1 0 96 35.5092071123234
39087 88 0 10 0 8 907 35.5092071123234
39087 88 0 10 1 1 25 35.5092071123234
39087 88 1 7 0 0 3164 35.5092071123234
39087 88 1 7 1 0 86 35.5092071123234
39087 88 1 8 0 6 3016 35.5092071123234
39087 88 1 8 1 0 94 35.5092071123234
39087 88 1 9 0 8 2571 35.5092071123234
39087 88 1 9 1 0 79 35.5092071123234
39087 88 1 10 0 3 1474 35.5092071123234
39087 88 1 10 1 0 54 35.5092071123234
39039 88 0 7 0 2 1820 19.2049169363729
39039 88 0 7 1 0 22 19.2049169363729
39039 88 0 8 0 1 1612 19.2049169363729
39039 88 0 8 1 0 6 19.2049169363729
39039 88 0 9 0 8 1113 19.2049169363729
39039 88 0 9 1 0 3 19.2049169363729
39039 88 0 10 0 4 496 19.2049169363729
39039 88 0 10 1 0 0 19.2049169363729
39039 88 1 7 0 1 1950 19.2049169363729
39039 88 1 7 1 0 16 19.2049169363729
39039 88 1 8 0 2 1613 19.2049169363729
39039 88 1 8 1 0 5 19.2049169363729
39039 88 1 9 0 3 1375 19.2049169363729
39039 88 1 9 1 0 5 19.2049169363729
39039 88 1 10 0 1 839 19.2049169363729
39039 88 1 10 1 0 2 19.2049169363729
39085 88 0 7 0 9 11235 111.035761795778
39085 88 0 7 1 0 223 111.035761795778
39085 88 0 8 0 23 9630 111.035761795778
39085 88 0 8 1 0 150 111.035761795778
39085 88 0 9 0 38 6456 111.035761795778
39085 88 0 9 1 0 85 111.035761795778
39085 88 0 10 0 19 2321 111.035761795778
39085 88 0 10 1 0 39 111.035761795778
39085 88 1 7 0 9 11496 111.035761795778
39085 88 1 7 1 0 233 111.035761795778
